forecast_date,target_end_date,location,target,quantile,value,type
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.01,79.06637554059431,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.025,105.1369961729276,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.05,130.97810660710195,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.1,164.45801648667936,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.15,189.60627544595263,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.2,210.94980526235872,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.25,230.088855908972,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.3,247.95329446217207,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.35,265.1418520535076,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.4,282.0957348037834,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.45,299.19254003032967,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.5,316.8037409679858,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.55,335.3020356680892,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.6,355.13497207909086,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.65,376.8938099519004,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.7,401.419943784509,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.75,430.0709057472596,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.8,465.3230298362621,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.85,512.2610464803889,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.9,583.2373661549539,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.95,721.6893710795813,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.975,882.3682570882063,quantile
2022-11-28,2022-12-03,01,1 wk ahead inc flu hosp,0.99,1118.082940136822,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.01,50.41371244381837,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.025,71.03696170029927,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.05,95.30457079281324,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.1,137.8393381031434,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.15,175.98115814733418,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.2,210.73959953311905,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.25,243.63519028861023,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.3,275.50888942148856,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.35,306.8771748309107,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.4,338.1121729871817,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.45,369.4411281779386,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.5,401.21343972290833,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.55,434.060133081976,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.6,468.9863743280176,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.65,507.4661892894295,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.7,551.7051458617806,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.75,605.285097412478,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.8,674.3716068847161,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.85,770.5732128672205,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.9,919.296637818534,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.95,1193.7187883883648,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.975,1463.9775427174318,quantile
2022-11-28,2022-12-10,01,2 wk ahead inc flu hosp,0.99,1781.3676713884786,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.01,21.761042542506324,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.025,36.93692382540289,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.05,59.63104178306061,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.1,111.22065291507138,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.15,162.35604084871568,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.2,210.529434631096,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.25,257.1815518863929,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.3,303.0645660352382,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.35,348.6124976083138,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.4,394.1286656068688,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.45,439.689743543692,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.5,485.6230296052533,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.55,532.8182577140072,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.6,582.8378037950888,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.65,638.0385414088141,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.7,701.9903479390521,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.75,780.4991802051187,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.8,883.4201294968813,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.85,1028.885379254052,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.9,1255.3558006095366,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.95,1665.7482601334373,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.975,2045.586828346657,quantile
2022-11-28,2022-12-17,01,3 wk ahead inc flu hosp,0.99,2444.652293767557,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.01,16.113121074141922,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.025,27.913933738346262,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.05,48.10663447869096,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.1,97.1750629171486,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.15,148.46570995101504,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.2,198.35577931916205,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.25,247.8987493007845,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.3,297.9640218644664,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.35,349.20522713902113,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.4,402.0100603733534,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.45,456.4436001507355,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.5,512.7782456603725,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.55,571.97411694615,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.6,635.9134575662506,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.65,707.3683810920328,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.7,790.5296107812432,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.75,892.3433803948999,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.8,1025.0393465770503,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.85,1212.765610352662,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.9,1511.409296501065,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.95,2095.3934196659143,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.975,2716.650831886991,quantile
2022-11-28,2022-12-24,01,4 wk ahead inc flu hosp,0.99,3488.7749346224077,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.01,11.159883471029142,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.025,14.88743578603735,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.05,18.651988904952454,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.1,23.501737856479465,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.15,27.05905154985755,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.2,30.049722794203703,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.25,32.73039580903303,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.3,35.240095181049426,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.35,37.66768740778858,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.4,40.07820765081216,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.45,42.52675001170658,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.5,45.0642989708594,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.55,47.73992632922664,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.6,50.61294139274697,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.65,53.76305944218562,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.7,57.30729909855792,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.75,61.43357400945071,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.8,66.4912994381428,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.85,73.21999197323903,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.9,83.44192750164848,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.95,103.61147728255028,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.975,127.23022563826405,quantile
2022-11-28,2022-12-03,02,1 wk ahead inc flu hosp,0.99,161.76058680172912,quantile
2022-11-28,2022-12-10,02,2 wk ahead inc flu hosp,0.01,6.934084255449946,quantile
2022-11-28,2022-12-10,02,2 wk ahead inc flu hosp,0.025,9.754495558490785,quantile
2022-11-28,2022-12-10,02,2 wk ahead inc flu hosp,0.05,13.23210107766204,quantile
2022-11-28,2022-12-10,02,2 wk ahead inc flu hosp,0.1,19.70317274907485,quantile
