release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili
2013-12-31,hhs1,201352,201001,207,276,31688,138,83,101,,54,21,17,0.781851543996557,0.870992173693512
2013-12-31,hhs1,201352,201002,206,235,33169,143,84,79,,39,19,14,0.632695585961501,0.708492869848352
2013-12-31,hhs1,201352,201003,205,278,34664,146,110,108,,33,13,14,0.790783702207014,0.801984768059081
2013-12-31,hhs1,201352,201004,204,302,37360,143,80,159,,34,18,11,0.783798864414654,0.808351177730193
2013-12-31,hhs1,201352,201005,203,352,37486,142,102,193,,29,17,11,0.854759255767951,0.939017233100357
2013-12-31,hhs1,201352,201006,202,327,35666,142,83,153,,44,30,17,0.800756828302453,0.916839567094712
2013-12-31,hhs1,201352,201007,201,366,33173,140,87,171,,61,35,12,0.989387167468909,1.10330690621891
2013-12-31,hhs1,201352,201008,200,288,35489,137,74,146,,41,11,16,0.81910555302019,0.811519062244639
2013-12-31,hhs1,201352,201009,199,234,35276,138,64,110,,35,16,9,0.658078800681888,0.663340514797596
2013-12-31,hhs1,201352,201010,198,228,33885,138,68,113,,26,8,13,0.76008623760335,0.67286409915892
2013-12-31,hhs1,201352,201011,197,183,32655,135,53,81,,27,17,5,0.509446552025,0.560404225999081
2013-12-31,hhs1,201352,201012,196,189,34808,136,54,87,,29,16,3,0.516423973844147,0.54297862560331
2013-12-31,hhs1,201352,201013,195,191,33172,135,45,106,,21,11,8,0.573967915888988,0.575786808151453
2013-12-31,hhs1,201352,201014,194,249,34370,129,54,111,,41,25,18,0.627147302227601,0.724469013674716
2013-12-31,hhs1,201352,201015,193,170,34785,128,46,82,,20,17,5,0.480885886130161,0.488716400747449
2013-12-31,hhs1,201352,201016,192,124,29528,120,37,62,,12,4,9,0.446048357068623,0.41994039555676
2013-12-31,hhs1,201352,201017,191,120,31792,113,35,60,,11,9,5,0.403117751179232,0.377453447408153
2013-12-31,hhs1,201352,201018,190,161,28945,102,40,79,,24,11,7,0.544570689443685,0.556227327690447
2013-12-31,hhs1,201352,201019,189,107,26679,95,38,35,,16,12,6,0.381844940032214,0.401064507665205
2013-12-31,hhs1,201352,201020,188,114,25431,91,39,47,,13,11,4,0.440723648885978,0.44827179426684
2013-12-31,hhs1,201352,201021,187,122,24667,90,40,51,,16,4,11,0.498855362929491,0.494587910974176
2013-12-31,hhs1,201352,201022,186,94,17702,79,29,41,,9,7,8,0.528898825609342,0.531013444808496
2013-12-31,hhs1,201352,201023,185,102,21462,83,38,39,,15,4,6,0.44087937606723,0.475258596589321
2013-12-31,hhs1,201352,201024,184,92,20081,79,34,40,,9,3,6,0.453755785911518,0.458144514715403
2013-12-31,hhs1,201352,201025,183,91,20630,79,29,32,,12,10,8,0.434431812194491,0.441105186621425
2013-12-31,hhs1,201352,201026,182,79,19866,79,30,31,,13,3,2,0.381214024843223,0.397664351152723
2013-12-31,hhs1,201352,201027,181,84,17142,77,31,35,,10,3,5,0.446610913197843,0.490024501225061
2013-12-31,hhs1,201352,201028,180,75,20827,77,19,33,,9,8,6,0.335783157120536,0.360109473279877
2013-12-31,hhs1,201352,201029,179,89,20874,79,35,35,,10,5,4,0.389146721898565,0.426367730190668
2013-12-31,hhs1,201352,201030,178,79,19862,79,23,35,,11,4,6,0.412654268431902,0.397744436612627
2013-12-31,hhs1,201352,201031,177,78,18969,77,23,30,,11,12,2,0.356796464217753,0.41119721651115
2013-12-31,hhs1,201352,201032,176,91,19587,77,28,32,,16,7,8,0.420547285788688,0.464593863276663
2013-12-31,hhs1,201352,201033,175,71,19225,75,22,28,,9,6,6,0.324615183003329,0.369310793237971
2013-12-31,hhs1,201352,201034,174,69,20129,77,18,27,,12,6,6,0.26672275485035,0.342789010879825
2013-12-31,hhs1,201352,201035,173,57,20824,80,16,18,,9,9,5,0.240130688027999,0.273722627737226
2013-12-31,hhs1,201352,201036,172,77,20239,82,9,40,,16,6,6,0.423525939390855,0.380453579722318
2013-12-31,hhs1,201352,201037,171,101,24196,80,25,36,,20,10,10,0.404255999536257,0.417424367664077
2013-12-31,hhs1,201352,201038,170,115,25201,79,22,59,,12,7,15,0.446417672242554,0.456331097972303
2013-12-31,hhs1,201352,201039,169,97,25796,83,24,34,,23,6,10,0.357444738748708,0.376027291052876
2017-10-24,hhs1,201740,201040,365,252,50877,150,91,97,,34,19,11,0.415796,0.495312
2017-10-24,hhs1,201740,201041,364,307,47313,151,106,127,,45,15,14,0.58519,0.64887
2017-10-24,hhs1,201740,201042,363,338,54188,160,98,151,,54,24,11,0.587396,0.623754
2017-10-24,hhs1,201740,201043,362,345,56056,165,104,144,,50,25,22,0.572541,0.615456
2017-10-24,hhs1,201740,201044,361,338,52485,163,103,152,,48,19,16,0.603793,0.643994
2017-10-24,hhs1,201740,201045,360,302,50532,165,99,119,,49,26,9,0.556758,0.597641
2017-10-24,hhs1,201740,201046,359,395,54900,164,107,176,,59,31,22,0.705164,0.71949
2017-10-24,hhs1,201740,201047,358,321,37415,159,107,99,,58,28,29,0.820865,0.857945
2017-10-24,hhs1,201740,201048,357,412,54690,166,125,174,,69,27,17,0.689018,0.753337
2017-10-24,hhs1,201740,201049,356,423,53217,161,138,183,,53,30,19,0.760426,0.794859
2017-10-24,hhs1,201740,201050,355,440,52867,168,158,165,,62,36,19,0.802437,0.832277
2017-10-24,hhs1,201740,201051,354,405,38377,163,139,140,,61,39,26,1.01492,1.05532
2017-10-24,hhs1,201740,201052,353,411,32970,166,157,117,,72,43,22,1.13074,1.24659
2017-10-24,hhs1,201740,201101,352,508,51455,166,164,161,,108,43,32,0.959888,0.98727
2017-10-24,hhs1,201740,201102,351,555,46187,169,216,174,,99,41,25,1.18688,1.20164
2017-10-24,hhs1,201740,201103,350,568,46551,171,177,218,,98,46,29,1.20524,1.22017
2017-10-24,hhs1,201740,201104,349,780,52393,161,244,322,,130,53,31,1.40872,1.48875
2017-10-24,hhs1,201740,201105,348,929,48455,171,236,464,,157,39,33,1.87486,1.91724
2017-10-24,hhs1,201740,201106,347,1198,57866,167,264,664,,173,66,31,1.99294,2.0703
2017-10-24,hhs1,201740,201107,346,1339,55699,166,287,751,,197,68,36,2.31154,2.40399
2017-10-24,hhs1,201740,201108,345,1252,50499,167,268,575,,262,116,31,2.32248,2.47926
2017-10-24,hhs1,201740,201109,344,1035,55226,165,225,457,,199,103,51,1.75247,1.87412
2017-10-24,hhs1,201740,201110,343,960,52955,156,245,450,,171,63,31,1.65827,1.81286
2017-10-24,hhs1,201740,201111,342,756,51279,159,220,314,,138,48,36,1.36504,1.47429
2017-10-24,hhs1,201740,201112,341,616,52786,155,183,289,,96,28,20,1.02294,1.16698
2017-10-24,hhs1,201740,201113,340,683,56709,164,203,327,,75,47,31,1.11948,1.20439
2017-10-24,hhs1,201740,201114,339,579,54867,145,172,286,,77,27,17,0.934313,1.05528
2017-10-24,hhs1,201740,201115,338,499,51282,141,174,211,,61,32,21,0.834506,0.973051
2017-10-24,hhs1,201740,201116,337,390,44064,150,146,136,,65,25,18,0.779753,0.885076
