year,week,date,location,location_name,value,EW,HHS,wili2010,wili2011,wili2012,wili2013,wili2014,wili2015,wili2016,wili2017,wili2018,wili2019,wili2020
2020,40,2020-10-03,01,Alabama,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,37,North Carolina,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,13,Georgia,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,21,Kentucky,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,28,Mississippi,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,45,South Carolina,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,12,Florida,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,47,Tennessee,0,202040,4,0.937956,1.10567,1.11705,0.943459,0.82892,1.01464,1.17386,1.15704,1.24084,1.67601,1.32584
2020,40,2020-10-03,15,Hawaii,0,202040,9,1.73524,1.54554,1.81284,1.36535,1.79314,1.34537,1.2649,1.76737,1.45424,1.30845,0.857704
2020,40,2020-10-03,32,Nevada,0,202040,9,1.73524,1.54554,1.81284,1.36535,1.79314,1.34537,1.2649,1.76737,1.45424,1.30845,0.857704
2020,40,2020-10-03,04,Arizona,0,202040,9,1.73524,1.54554,1.81284,1.36535,1.79314,1.34537,1.2649,1.76737,1.45424,1.30845,0.857704
2020,40,2020-10-03,06,California,0,202040,9,1.73524,1.54554,1.81284,1.36535,1.79314,1.34537,1.2649,1.76737,1.45424,1.30845,0.857704
