date,location,location_name,value
2019-12-31,US,US,0
2020-01-01,US,US,1
2020-01-02,US,US,1
2020-01-03,US,US,1
2020-01-04,US,US,1
2020-01-05,US,US,1
2020-01-06,US,US,0
2020-01-07,US,US,0
2020-01-08,US,US,0
2020-01-09,US,US,0
2020-01-10,US,US,0
2020-01-11,US,US,0
2020-01-12,US,US,0
2020-01-13,US,US,0
2020-01-14,US,US,0
2020-01-15,US,US,0
2020-01-16,US,US,0
2020-01-17,US,US,0
2020-01-18,US,US,0
2020-01-19,US,US,0
2020-01-20,US,US,0
2020-01-21,US,US,0
2020-01-22,US,US,0
2020-01-23,US,US,0
2020-01-24,US,US,0
2020-01-25,US,US,0
2020-01-26,US,US,0
2020-01-27,US,US,0
2020-01-28,US,US,0
2020-01-29,US,US,0
2020-01-30,US,US,0
2020-01-31,US,US,0
2020-02-01,US,US,0
2020-02-02,US,US,0
2020-02-03,US,US,0
2020-02-04,US,US,0
2020-02-05,US,US,0
2020-02-06,US,US,0
2020-02-07,US,US,0
2020-02-08,US,US,0
2020-02-09,US,US,0
2020-02-10,US,US,0
2020-02-11,US,US,0
2020-02-12,US,US,0
2020-02-13,US,US,0
2020-02-14,US,US,0
2020-02-15,US,US,0
2020-02-16,US,US,0
2020-02-17,US,US,0
2020-02-18,US,US,0
2020-02-19,US,US,0
2020-02-20,US,US,0
2020-02-21,US,US,0
2020-02-22,US,US,0
2020-02-23,US,US,0
2020-02-24,US,US,0
2020-02-25,US,US,0
2020-02-26,US,US,0
2020-02-27,US,US,0
2020-02-28,US,US,0
2020-02-29,US,US,0
2020-03-01,US,US,0
2020-03-02,US,US,0
2020-03-03,US,US,0
2020-03-04,US,US,0
2020-03-05,US,US,0
2020-03-06,US,US,0
2020-03-07,US,US,0
2020-03-08,US,US,0
2020-03-09,US,US,0
2020-03-10,US,US,0
2020-03-11,US,US,0
2020-03-12,US,US,0
2020-03-13,US,US,0
2020-03-14,US,US,0
2020-03-15,US,US,0
2020-03-16,US,US,0
2020-03-17,US,US,0
2020-03-18,US,US,0
2020-03-19,US,US,0
2020-03-20,US,US,0
2020-03-21,US,US,0
2020-03-22,US,US,0
2020-03-23,US,US,0
2020-03-24,US,US,0
2020-03-25,US,US,0
2020-03-26,US,US,0
2020-03-27,US,US,0
2020-03-28,US,US,0
2020-03-29,US,US,0
2020-03-30,US,US,0
2020-03-31,US,US,0
2020-04-01,US,US,0
2020-04-02,US,US,0
2020-04-03,US,US,0
2020-04-04,US,US,0
2020-04-05,US,US,0
2020-04-06,US,US,0
2020-04-07,US,US,0
2020-04-08,US,US,0
2020-04-09,US,US,0
2020-04-10,US,US,0
2020-04-11,US,US,0
2020-04-12,US,US,0
2020-04-13,US,US,0
2020-04-14,US,US,0
2020-04-15,US,US,0
2020-04-16,US,US,0
2020-04-17,US,US,0
2020-04-18,US,US,0
